A1	Jean-Paul Calbimonte
A2	Daniele Dell'Aglio
A3	Marco Brambilla 
A4	Karl Aberer
A5	Emanuele Della Valle
A6	Marco Balduini
A7	Andrea Mauri 
A8	Andrea Moro 
A9	Roberto Navigli
A10	Francesco Cecconi
A11	Feiyu Xu
A12	Hong Li
A13	Hans Uszkoreit
A14	Sebastian Krause
A15	Takahira Yamaguchi
A16	Takeshi Morita 
A17	Ryota Nishimura
A18	Yu Sugawara
A19	Susumu Tamagawa
A20	Nicola Fanizzi
A21	Claudia d'Amato
A22	Floriana Esposito
A23	Giuseppe Rizzo 
A24	Axel Polleres
A25	Markus Krötzsch
A26	Sebastian Rudolph
A27	Stefan Bischof 
A28	Patrik Schneider
A29	Christoph Martin
A30	Carole A. Goble
A31	Jun Zhao 
A32	Graham Klyne
A33	Matthew Gamble
A34	Jeff Heflin
A35	Yang Yu
A36	Yingjie Li 
A37	Lei Zhang 
A38	Thanh Tran 
A39	Michael Färber
A40	Achim Rettinger
A41	David Carral
A42	Yingjie Hu
A43	Amin Abdalla
A44	Krzysztof Janowicz
A45	Naicong Li
A46	Marouen Kachroudi
A47	Mariem El Abdi
A48	Sadok Ben Yahia
A49	Hazem Souid
A50	Nobuyuki Igata
A51	Shin-ichiro Tago
A52	Fumihito Nishino
A53	Yutaka Mitsuishi
A54	Hiroaki Morikawa
A55	Shuya Abe
A56	Seiji Okajima
A57	Kai Tomaschewski
A58	Fabian Abel
A59	Georg Gottlob
A60	Nicola Henze
A61	Wolfgang Nejdl
A62	Matthias Kriesell
A63	Marcus Herzog
A64	Adrian Brooks
A65	Christian Enzi
A66	Robert Baumgartner
A67	Arne Wolf Koesling
A68	Juri Luca De Coi
A69	Daniel Krause
A70	Daniel Olmedilla
A71	Ilknur Celik
A72	Patrick Siehndel
A73	Geert-Jan Houben
A74	Daniel Plappert
A75	Mischa Frank
A76	Manfred Hauswirth
A77	Philippe Cudré-Mauroux
A78	Tim Van Pelt
A79	Vance P. Lemmon
A80	Ubbo Visser
A81	Saminda Abeyruwan
A82	Stephan C. Schürer
A83	Serge Abiteboul
A84	Ioana Manolescu
A85	Nicoleta Preda
A86	José Sánchez 
A87	Jonathan Queipo
A88	Maria-Esther Vidal
A89	Guillermo Palma
A90	Valeria Pestana
A91	Domingo De Abreu
A92	Alejandro Flores 
A93	José Piñero
A94	Konstantin Todorov
A95	Raphaël Troncy
A96	Marie Destandau
A97	Rodolphe Bailly
A98	Cecile Cecconi
A99	Manel Achichi
A100	Christian Meilicke
A101	Tzanina Saveta
A102	Ian Harrow
A103	Elena Kuss
A104	Stefano Montanelli
A105	Pavel Shvaiko
A106	Alfio Ferrara
A107	Andrea Splendiani
A108	Giorgos Flouris
A109	Ondrej Sváb-Zamazal
A110	Heiner Stuckenschmidt
A111	Huanyu Li 
A112	Irini Fundulaki
A113	Catia Pesquita
A114	Michelle Cheatham
A115	Henrik Leopold
A116	Daniel Faria
A117	Zlatan Dragisic
A118	Cássia Trojahn dos Santos
A119	Valentina Ivanova
A120	Jérôme Euzenat
A121	Patrick Lambrix
A122	Ernesto Jiménez-Ruiz
A123	Mark A. Cameron
A124	Ross G. Ackland
A125	Laurent Lefort
A126	Kerry L. Taylor
A127	Joel Rahman
A128	Maribel Acosta
A129	Andreas Harth
A130	Carlos Buil Aranda
A131	Simón Castillo
A132	Fabian Flöck
A133	Tomas Lampo
A134	Julio Castillo
A135	Edna Ruckhaus
A136	Sören Auer
A137	Dimitris Kontokostas
A138	Jens Lehmann
A139	Amrapali Zaveri
A140	Elena Paslaru Bontas Simperl
A141	Takuya Adachi
A142	Naoki Fukuta
A143	Sibel Adali
A144	Maria Luisa Sapino
A145	Paolo Ciancarini
A146	Alessandro Adamou
A147	Aldo Gangemi
A148	Valentina Presutti
A149	Mathieu d'Aquin
A150	Helen Barlow
A151	Simon Brown
A152	Armin Haller
